Date,Open,High,Low,Close,Adj Close,Volume
2008-01-15,106.970001,108.629997,106.379997,106.809998,64.855873,3033600
2008-01-16,106.110001,107.099998,105.160004,105.860001,64.279053,3042400
2008-01-17,105.970001,107.120003,101.930000,102.150002,62.026268,3592600
2008-01-18,102.650002,104.330002,101.070000,101.879997,61.862343,3291200
2008-01-22,97.010002,102.180000,90.440002,101.019997,61.340160,4440500
2008-01-23,98.309998,102.040001,97.059998,101.690002,61.746956,3977200
2008-01-24,102.739998,106.809998,102.110001,105.900002,64.303322,3713600
2008-01-25,107.070000,107.070000,104.970001,105.489998,64.054359,3280100
2008-01-28,105.430000,107.050003,105.430000,106.870003,64.892303,2832200
2008-01-29,107.019997,107.470001,105.900002,106.440002,64.631203,1992000
2008-01-30,106.919998,108.449997,106.269997,106.529999,64.685852,2171900
2008-01-31,105.309998,108.349998,104.599998,107.919998,65.529877,2894100
2008-02-01,108.169998,109.800003,106.870003,108.120003,65.651344,2658200
2008-02-04,108.150002,110.150002,106.010002,109.779999,66.659286,2666700
2008-02-05,109.349998,109.660004,107.139999,107.769997,65.438797,2364800
2008-02-06,108.720001,108.720001,105.180000,105.599998,64.121162,2369400
2008-02-07,104.949997,106.940002,104.620003,105.830002,64.260826,2981000
2008-02-08,105.820000,106.260002,104.760002,105.760002,64.218330,1725800
2008-02-11,105.540001,107.790001,105.529999,107.610001,65.341660,1583300
2008-02-12,108.059998,108.059998,106.599998,107.209999,65.098770,2208900
2008-02-13,107.209999,109.150002,107.010002,108.870003,66.106735,1871400
2008-02-14,108.739998,109.500000,106.599998,107.099998,65.031982,1293300
2008-02-15,107.070000,107.519997,105.000000,105.760002,64.218330,2095600
2008-02-19,106.760002,108.000000,105.809998,107.339996,65.177727,1814800
2008-02-20,106.610001,107.320000,105.849998,107.070000,65.013756,1270300
2008-02-21,107.239998,107.940002,104.739998,105.000000,63.756840,2958700
2008-02-22,105.269997,105.510002,103.169998,105.120003,63.829723,1678600
2008-02-25,105.389999,106.639999,104.279999,106.629997,64.746582,1749500
2008-02-26,105.900002,106.449997,105.330002,105.949997,64.333672,1712800
2008-02-27,105.400002,106.720001,105.110001,105.360001,63.975433,1693800
2008-02-28,104.650002,105.800003,103.650002,105.160004,64.109566,1833500
2008-02-29,104.000000,104.330002,102.870003,103.199997,62.914658,1958900
2008-03-03,103.269997,104.000000,102.410004,104.000000,63.402363,1731000
2008-03-04,102.599998,104.089996,102.129997,103.720001,63.231670,1872900
2008-03-05,103.599998,104.900002,102.889999,104.709999,63.835220,2059400
2008-03-06,103.400002,104.930000,103.400002,104.150002,63.493820,1927600
2008-03-07,103.129997,104.599998,102.769997,103.180000,62.902466,1736300
2008-03-10,102.290001,103.010002,100.150002,100.320000,61.158886,2369800
2008-03-11,100.059998,101.699997,99.370003,101.660004,61.975830,3281800
2008-03-12,102.000000,102.180000,100.120003,100.449997,61.238167,1985300
2008-03-13,99.550003,101.400002,98.500000,101.110001,61.640522,2132700
2008-03-14,101.980003,102.680000,99.010002,100.540001,61.293045,2891700
2008-03-17,98.349998,101.110001,98.349998,100.050003,60.994297,3285300
2008-03-18,101.750000,101.750000,99.910004,101.550003,61.908756,3538000
2008-03-19,101.839996,103.250000,100.709999,100.709999,61.396671,2353200
2008-03-20,100.849998,101.849998,98.449997,100.050003,60.994297,3444100
2008-03-24,100.260002,101.309998,99.769997,100.779999,61.439335,1710900
2008-03-25,101.269997,102.290001,100.000000,102.000000,62.183071,1363800
2008-03-26,101.669998,101.669998,100.559998,101.230003,61.713692,1361300
2008-03-27,101.599998,101.599998,99.900002,100.040001,60.988213,1336600
2008-03-28,100.379997,100.889999,99.760002,100.180000,61.073532,1552200
2008-03-31,100.339996,100.610001,98.440002,99.300003,60.537083,2439400
2008-04-01,99.959999,101.510002,99.279999,101.330002,61.774635,2040000
2008-04-02,101.220001,102.000000,100.029999,100.209999,61.091843,2501500
2008-04-03,99.809998,100.120003,98.500000,99.029999,60.372444,3389500
2008-04-04,99.540001,101.339996,99.000000,100.809998,61.457615,2384800
2008-04-07,101.580002,102.830002,101.070000,102.250000,62.335514,2555300
2008-04-08,102.250000,104.139999,102.250000,103.489998,63.091450,2658400
2008-04-09,103.400002,104.209999,102.559998,103.110001,62.859798,1531000
2008-04-10,103.320000,103.320000,102.349998,102.809998,62.676907,1258000
2008-04-11,102.449997,103.699997,101.879997,103.010002,62.798847,1492200
2008-04-14,102.769997,104.080002,102.769997,103.320000,62.987820,1305400
2008-04-15,104.180000,104.180000,101.910004,103.110001,62.859798,1956000
2008-04-16,103.120003,104.650002,103.000000,104.650002,63.798656,2064900
2008-04-17,104.139999,105.150002,104.000000,104.360001,63.621861,1303700
2008-04-18,105.690002,106.459999,105.089996,106.239998,64.767960,1714800
2008-04-21,106.160004,106.599998,104.809998,106.570000,64.969147,1481200
2008-04-22,103.879997,105.250000,103.180000,103.790001,63.274353,2116300
2008-04-23,103.989998,108.000000,103.790001,107.879997,65.767761,2638100
2008-04-24,107.169998,107.529999,105.870003,106.599998,64.987450,1681200
2008-04-25,106.889999,107.980003,106.190002,107.629997,65.615372,1202100
2008-04-28,107.010002,108.309998,106.410004,106.650002,65.017929,1562500
2008-04-29,106.309998,107.080002,105.550003,105.889999,64.554596,1500700
2008-04-30,106.150002,107.290001,105.589996,106.040001,64.646034,1572100
2008-05-01,105.760002,107.830002,105.760002,107.720001,65.670219,1428300
2008-05-02,108.449997,108.449997,105.779999,106.930000,65.188637,1729200
2008-05-05,106.459999,107.889999,106.070000,106.620003,64.999619,1691400
2008-05-06,106.230003,106.949997,105.699997,106.529999,64.944748,1334000
2008-05-07,106.379997,107.180000,105.010002,105.919998,64.572868,2051700
2008-05-08,106.110001,106.550003,105.309998,105.839996,64.524117,1300500
2008-05-09,105.500000,106.279999,104.940002,105.839996,64.524117,950400
2008-05-12,105.839996,107.050003,105.529999,106.970001,65.213028,1101000
2008-05-13,107.230003,108.660004,107.230003,108.500000,66.145760,1742200
2008-05-14,108.699997,110.000000,108.500000,108.709999,66.273773,1853800
2008-05-15,108.980003,109.230003,108.080002,109.059998,66.487129,1420400
2008-05-16,109.510002,109.650002,108.089996,109.160004,66.548096,1778900
2008-05-19,108.980003,110.599998,108.500000,109.940002,67.023605,1726200
2008-05-20,109.629997,109.970001,108.330002,109.089996,66.505424,1489700
2008-05-21,109.080002,109.989998,106.820000,106.949997,65.200783,1496600
2008-05-22,106.889999,107.699997,106.599998,107.089996,65.286133,1173300
2008-05-23,107.250000,108.669998,106.949997,107.419998,65.487328,1331100
2008-05-27,107.269997,108.430000,106.790001,107.349998,65.444656,998800
2008-05-28,107.290001,108.209999,106.940002,107.690002,65.651932,1639400
2008-05-29,107.699997,108.910004,106.320000,108.610001,66.472046,1921700
2008-05-30,108.720001,109.879997,108.419998,109.440002,66.980057,1804100
2008-06-02,109.230003,109.870003,108.089996,109.160004,66.808670,1755200
2008-06-03,109.750000,109.750000,107.290001,107.830002,65.994652,2360300
2008-06-04,107.320000,109.089996,107.320000,108.489998,66.398598,1696100
2008-06-05,108.459999,108.489998,106.529999,107.669998,65.896759,2505000
2008-06-06,106.980003,106.980003,103.699997,103.750000,63.497612,3129900
2008-06-09,104.379997,104.379997,101.750000,102.650002,62.824383,2801800
2008-06-10,102.120003,104.050003,101.669998,102.980003,63.026363,1921000
2008-06-11,102.559998,103.970001,102.470001,102.690002,62.848873,1794500
